chr	start	end	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.quantile	DHS.RPM	DHS.RPM.quantile	DHS.RPKM	DHS.RPKM.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.readCount	H3K27ac.ENCFF384ZZM.chr22.bam.RPM	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.quantile	H3K27ac.RPM	H3K27ac.RPM.quantile	H3K27ac.RPKM	H3K27ac.RPKM.quantile	cellType	class	isPromoterElement	isGenicElement	isIntergenicElement	enhancerSymbol	name	normalized_h3K27ac	normalized_dhs	activity_base
chr22	37678173	37678753	15	34.538258	0.269865	0.269865	59.548721	0.197001	8	20.495111	0.158621	0.158621	35.336398	0.127136	27.516684	0.193403	47.442559	0.153823	4	18.280951	0.407946	0.407946	31.518881	0.379310	18.280951	0.407946	31.518881	0.379310	K562	promoter	True	False	False	CYTH4	promoter|chr22:37678173-37678753	18.280951	27.516684	22.428356
chr22	37680966	37681466	13	29.933157	0.207946	0.207946	59.866314	0.213493	2	5.123778	0.043778	0.043778	10.247555	0.043928	17.528467	0.089055	35.056935	0.090555	0	0.000000	0.049925	0.049925	0.000000	0.049925	0.000000	0.049925	0.000000	0.049925	K562	genic	False	True	False		genic|chr22:37680966-37681466	0.000000	17.528467	0.000000
chr22	37693769	37694269	21	48.353561	0.415292	0.415292	96.707122	0.423388	21	53.799665	0.471964	0.471964	107.599331	0.480360	51.076613	0.448426	102.153227	0.457121	2	9.140475	0.258171	0.258171	18.280951	0.259520	9.140475	0.258171	18.280951	0.259520	K562	genic	False	True	False		genic|chr22:37693769-37694269	9.140475	51.076613	21.607048
chr22	37697856	37698356	23	52.958662	0.457271	0.457271	105.917325	0.465067	17	43.552110	0.393553	0.393553	87.104220	0.400750	48.255386	0.427886	96.510772	0.435382	3	13.710713	0.340330	0.340330	27.421426	0.343628	13.710713	0.340330	27.421426	0.343628	K562	genic	False	True	False		genic|chr22:37697856-37698356	13.710713	48.255386	25.721893
chr22	37699852	37700352	23	52.958662	0.457271	0.457271	105.917325	0.465067	21	53.799665	0.471964	0.471964	107.599331	0.480360	53.379164	0.468366	106.758328	0.476762	17	77.694041	0.773313	0.773313	155.388082	0.780360	77.694041	0.773313	155.388082	0.780360	K562	genic	False	True	False		genic|chr22:37699852-37700352	77.694041	53.379164	64.399091
chr22	37700568	37701068	29	66.773966	0.546177	0.546177	133.547931	0.555172	24	61.485332	0.520540	0.520540	122.970664	0.527436	64.129649	0.537631	128.259297	0.546627	34	155.388082	0.880210	0.880210	310.776163	0.886957	155.388082	0.880210	310.776163	0.886957	K562	genic	False	True	False		genic|chr22:37700568-37701068	155.388082	64.129649	99.824762
chr22	37702826	37703326	93	214.137200	0.819040	0.819040	428.274400	0.827436	76	194.703551	0.808546	0.808546	389.407102	0.818291	204.420375	0.814693	408.840751	0.823688	21	95.974992	0.814093	0.814093	191.949983	0.821889	95.974992	0.814093	191.949983	0.821889	K562	genic	False	True	False		genic|chr22:37702826-37703326	95.974992	204.420375	140.068711
chr22	37703555	37704055	21	48.353561	0.415292	0.415292	96.707122	0.423388	21	53.799665	0.471964	0.471964	107.599331	0.480360	51.076613	0.448426	102.153227	0.457121	29	132.536893	0.859670	0.859670	265.073786	0.868516	132.536893	0.859670	265.073786	0.868516	K562	genic	False	True	False		genic|chr22:37703555-37704055	132.536893	51.076613	82.277188
chr22	37710847	37711347	13	29.933157	0.207946	0.207946	59.866314	0.213493	6	15.371333	0.114993	0.114993	30.742666	0.116492	22.652245	0.138831	45.304490	0.141229	3	13.710713	0.340330	0.340330	27.421426	0.343628	13.710713	0.340330	27.421426	0.343628	K562	genic	False	True	False		genic|chr22:37710847-37711347	13.710713	22.652245	17.623236
chr22	37712724	37713224	18	41.445910	0.350525	0.350525	82.891819	0.357721	22	56.361554	0.490105	0.490105	112.723108	0.497751	48.903732	0.433733	97.807464	0.441229	1	4.570238	0.155322	0.155322	9.140475	0.156972	4.570238	0.155322	9.140475	0.156972	K562	intergenic	False	False	True		intergenic|chr22:37712724-37713224	4.570238	48.903732	14.949973
chr22	37929953	37930453	42	96.707122	0.648426	0.648426	193.414245	0.659520	34	87.104220	0.631034	0.631034	174.208440	0.641679	91.905671	0.640030	183.811343	0.649925	4	18.280951	0.407946	0.407946	36.561902	0.413043	18.280951	0.407946	36.561902	0.413043	K562	intergenic	False	False	True		intergenic|chr22:37929953-37930453	18.280951	91.905671	40.989304
chr22	37726404	37726904	23	52.958662	0.457271	0.457271	105.917325	0.465067	15	38.428332	0.351724	0.351724	76.856665	0.358471	45.693497	0.408546	91.386995	0.416642	2	9.140475	0.258171	0.258171	18.280951	0.259520	9.140475	0.258171	18.280951	0.259520	K562	intergenic	False	False	True		intergenic|chr22:37726404-37726904	9.140475	45.693497	20.436739
chr22	37823255	37823755	0	0.000000	0.008996	0.008996	0.000000	0.008996	1	2.561889	0.027286	0.027286	5.123778	0.027586	1.280944	0.016342	2.561889	0.016342	0	0.000000	0.049925	0.049925	0.000000	0.049925	0.000000	0.049925	0.000000	0.049925	K562	promoter	True	False	False	ELFN2	promoter|chr22:37823255-37823755	0.000000	1.280944	0.000000
chr22	37828261	37828761	10	23.025505	0.113793	0.113793	46.051011	0.115592	7	17.933222	0.135982	0.135982	35.866444	0.138081	20.479364	0.117541	40.958727	0.119040	2	9.140475	0.258171	0.258171	18.280951	0.259520	9.140475	0.258171	18.280951	0.259520	K562	intergenic	False	False	True		intergenic|chr22:37828261-37828761	9.140475	20.479364	13.681781
chr22	37851472	37851972	53	122.035178	0.708396	0.708396	244.070357	0.719490	51	130.656330	0.726087	0.726087	261.312661	0.736882	126.345754	0.717691	252.691509	0.728186	5	22.851188	0.466117	0.466117	45.702377	0.473013	22.851188	0.466117	45.702377	0.473013	K562	intergenic	False	False	True		intergenic|chr22:37851472-37851972	22.851188	126.345754	53.732212
chr22	37853260	37853760	21	48.353561	0.415292	0.415292	96.707122	0.423388	17	43.552110	0.393553	0.393553	87.104220	0.400750	45.952836	0.410495	91.905671	0.418741	1	4.570238	0.155322	0.155322	9.140475	0.156972	4.570238	0.155322	9.140475	0.156972	K562	intergenic	False	False	True		intergenic|chr22:37853260-37853760	4.570238	45.952836	14.491907
chr22	37882228	37882907	21	48.353561	0.415292	0.415292	71.212903	0.292654	8	20.495111	0.158621	0.158621	30.184257	0.106447	34.424336	0.280660	50.698580	0.172114	4	18.280951	0.407946	0.407946	26.923344	0.308846	18.280951	0.407946	26.923344	0.308846	K562	promoter	True	False	False	MFNG	promoter|chr22:37882228-37882907	18.280951	34.424336	25.086044
chr22	37888807	37889307	26	59.866314	0.509745	0.509745	119.732628	0.517391	25	64.047221	0.533133	0.533133	128.094441	0.539730	61.956767	0.521739	123.913535	0.529535	0	0.000000	0.049925	0.049925	0.000000	0.049925	0.000000	0.049925	0.000000	0.049925	K562	genic	False	True	False		genic|chr22:37888807-37889307	0.000000	61.956767	0.000000
chr22	37894249	37894749	12	27.630606	0.176162	0.176162	55.261213	0.179910	7	17.933222	0.135982	0.135982	35.866444	0.138081	22.781914	0.141079	45.563828	0.143478	2	9.140475	0.258171	0.258171	18.280951	0.259520	9.140475	0.258171	18.280951	0.259520	K562	genic	False	True	False		genic|chr22:37894249-37894749	9.140475	22.781914	14.430437
chr22	37897606	37898106	22	50.656112	0.437031	0.437031	101.312224	0.444828	11	28.180777	0.242729	0.242729	56.361554	0.245277	39.418444	0.345577	78.836889	0.351874	4	18.280951	0.407946	0.407946	36.561902	0.413043	18.280951	0.407946	36.561902	0.413043	K562	genic	False	True	False		genic|chr22:37897606-37898106	18.280951	39.418444	26.844117
chr22	37908485	37908985	89	204.926998	0.813343	0.813343	409.853995	0.822189	74	189.579773	0.803298	0.803298	379.159547	0.812294	197.253386	0.808696	394.506771	0.819490	11	50.272615	0.671364	0.671364	100.545229	0.680210	50.272615	0.671364	100.545229	0.680210	K562	genic	False	True	False		genic|chr22:37908485-37908985	50.272615	197.253386	99.581341
chr22	37914960	37915826	19	43.748460	0.373463	0.373463	50.517852	0.131634	12	30.742666	0.272114	0.272114	35.499614	0.127436	37.245563	0.317241	43.008733	0.128336	5	22.851188	0.466117	0.466117	26.387054	0.308546	22.851188	0.466117	26.387054	0.308546	K562	promoter	True	False	False	CARD10	promoter|chr22:37914960-37915826	22.851188	37.245563	29.173710
chr22	37750629	37751129	1	2.302551	0.023838	0.023838	4.605101	0.023988	0	0.000000	0.010195	0.010195	0.000000	0.010195	1.151275	0.012144	2.302551	0.012144	3	13.710713	0.340330	0.340330	27.421426	0.343628	13.710713	0.340330	27.421426	0.343628	K562	promoter	True	False	False	LOC100506271	promoter|chr22:37750629-37751129	13.710713	1.151275	3.973010
chr22	37677667	37678167	19	43.748460	0.373463	0.373463	87.496920	0.380660	13	33.304555	0.299400	0.299400	66.609110	0.304948	38.526507	0.334933	77.053015	0.341529	5	22.851188	0.466117	0.466117	45.702377	0.473013	22.851188	0.466117	45.702377	0.473013	K562	promoter	True	False	False	CYTH4	promoter|chr22:37677667-37678167	22.851188	38.526507	29.671139
chr22	38071126	38071862	226	520.376421	0.932684	0.932684	707.033181	0.894753	200	512.377766	0.934933	0.934933	696.165443	0.898051	516.377093	0.933133	701.599312	0.895952	26	118.826180	0.843178	0.843178	161.448614	0.786507	118.826180	0.843178	161.448614	0.786507	K562	promoter	True	False	False	LGALS1	promoter|chr22:38071126-38071862	118.826180	516.377093	247.707726
chr22	38077529	38078029	53	122.035178	0.708396	0.708396	244.070357	0.719490	41	105.037442	0.672864	0.672864	210.074884	0.683358	113.536310	0.690705	227.072620	0.701799	12	54.842852	0.692654	0.692654	109.685705	0.701499	54.842852	0.692654	109.685705	0.701499	K562	intergenic	False	False	True		intergenic|chr22:38077529-38078029	54.842852	113.536310	78.909157
chr22	38289362	38289862	16	36.840809	0.297451	0.297451	73.681617	0.304048	16	40.990221	0.373613	0.373613	81.980443	0.381109	38.915515	0.341679	77.831030	0.347976	9	41.132139	0.617691	0.617691	82.264279	0.625787	41.132139	0.617691	82.264279	0.625787	K562	intergenic	False	False	True		intergenic|chr22:38289362-38289862	41.132139	38.915515	40.008479
chr22	38301014	38301514	101	232.557604	0.834933	0.834933	465.115208	0.842129	84	215.198662	0.825487	0.825487	430.397323	0.834483	223.878133	0.830285	447.756266	0.838081	114	521.007098	0.971364	0.971364	1042.014195	0.975262	521.007098	0.971364	1042.014195	0.975262	K562	intergenic	False	False	True		intergenic|chr22:38301014-38301514	521.007098	223.878133	341.529056
chr22	38301875	38302404	33	75.984168	0.588306	0.588306	143.637368	0.582609	37	94.789887	0.648876	0.648876	179.186931	0.647076	85.387027	0.621289	161.412150	0.619190	18	82.264279	0.783658	0.783658	155.509033	0.785007	82.264279	0.783658	155.509033	0.785007	K562	promoter	True	False	False	MICALL1	promoter|chr22:38301875-38302404	82.264279	85.387027	83.811110
chr22	38309216	38309716	46	105.917325	0.673013	0.673013	211.834649	0.684858	32	81.980443	0.614243	0.614243	163.960885	0.623238	93.948884	0.645577	187.897767	0.655472	10	45.702377	0.646177	0.646177	91.404754	0.654723	45.702377	0.646177	91.404754	0.654723	K562	genic	False	True	False		genic|chr22:38309216-38309716	45.702377	93.948884	65.526234
chr22	38329828	38330328	130	299.331570	0.871064	0.871064	598.663139	0.875862	121	309.988548	0.878261	0.878261	619.977097	0.883208	304.660059	0.875562	609.320118	0.879460	18	82.264279	0.783658	0.783658	164.528557	0.791604	82.264279	0.783658	164.528557	0.791604	K562	genic	False	True	False		genic|chr22:38329828-38330328	82.264279	304.660059	158.311844
chr22	38347221	38347721	16	36.840809	0.297451	0.297451	73.681617	0.304048	19	48.675888	0.433733	0.433733	97.351776	0.442579	42.758348	0.384108	85.516696	0.390405	3	13.710713	0.340330	0.340330	27.421426	0.343628	13.710713	0.340330	27.421426	0.343628	K562	genic	False	True	False		genic|chr22:38347221-38347721	13.710713	42.758348	24.212547
chr22	38348655	38349155	17	39.143359	0.323388	0.323388	78.286718	0.329835	13	33.304555	0.299400	0.299400	66.609110	0.304948	36.223957	0.305547	72.447914	0.311844	5	22.851188	0.466117	0.466117	45.702377	0.473013	22.851188	0.466117	45.702377	0.473013	K562	genic	False	True	False		genic|chr22:38348655-38349155	22.851188	36.223957	28.770827
chr22	38349391	38349926	131	301.634120	0.871814	0.871814	563.802094	0.867766	100	256.188883	0.854123	0.854123	478.857725	0.850975	278.911502	0.864168	521.329909	0.859670	43	196.520221	0.904048	0.904048	367.327516	0.903148	196.520221	0.904048	367.327516	0.903148	K562	promoter	True	False	False	C22orf23,POLR2F	promoter|chr22:38349391-38349926	196.520221	278.911502	234.119093
chr22	38361127	38361627	22	50.656112	0.437031	0.437031	101.312224	0.444828	18	46.113999	0.414393	0.414393	92.227998	0.422489	48.385055	0.429085	96.770111	0.436582	2	9.140475	0.258171	0.258171	18.280951	0.259520	9.140475	0.258171	18.280951	0.259520	K562	genic	False	True	False		genic|chr22:38361127-38361627	9.140475	48.385055	21.030036
chr22	38380289	38380789	1	2.302551	0.023838	0.023838	4.605101	0.023988	3	7.685666	0.063118	0.063118	15.371333	0.063718	4.994109	0.040780	9.988217	0.040780	1	4.570238	0.155322	0.155322	9.140475	0.156972	4.570238	0.155322	9.140475	0.156972	K562	promoter	True	False	False	SOX10	promoter|chr22:38380289-38380789	4.570238	4.994109	4.777475
chr22	38287969	38288469	13	29.933157	0.207946	0.207946	59.866314	0.213493	10	25.618888	0.212744	0.212744	51.237777	0.215142	27.776023	0.198951	55.552045	0.202549	10	45.702377	0.646177	0.646177	91.404754	0.654723	45.702377	0.646177	91.404754	0.654723	K562	intergenic	False	False	True		intergenic|chr22:38287969-38288469	45.702377	27.776023	35.629065
chr22	38387996	38388496	8	18.420404	0.079010	0.079010	36.840809	0.079910	7	17.933222	0.135982	0.135982	35.866444	0.138081	18.176813	0.098801	36.353626	0.100000	2	9.140475	0.258171	0.258171	18.280951	0.259520	9.140475	0.258171	18.280951	0.259520	K562	intergenic	False	False	True		intergenic|chr22:38387996-38388496	9.140475	18.176813	12.889713
chr22	38408687	38409187	33	75.984168	0.588306	0.588306	151.968335	0.598051	25	64.047221	0.533133	0.533133	128.094441	0.539730	70.015694	0.569865	140.031388	0.577061	14	63.983328	0.733133	0.733133	127.966656	0.740780	63.983328	0.733133	127.966656	0.740780	K562	intergenic	False	False	True		intergenic|chr22:38408687-38409187	63.983328	70.015694	66.931585
chr22	38418930	38419430	14	32.235707	0.238981	0.238981	64.471415	0.245427	12	30.742666	0.272114	0.272114	61.485332	0.274963	31.489187	0.244528	62.978373	0.248426	1	4.570238	0.155322	0.155322	9.140475	0.156972	4.570238	0.155322	9.140475	0.156972	K562	intergenic	False	False	True		intergenic|chr22:38418930-38419430	4.570238	31.489187	11.996377
chr22	38428768	38429268	46	105.917325	0.673013	0.673013	211.834649	0.684858	30	76.856665	0.593403	0.593403	153.713330	0.601799	91.386995	0.638081	182.773990	0.647976	6	27.421426	0.513793	0.513793	54.842852	0.521739	27.421426	0.513793	54.842852	0.521739	K562	intergenic	False	False	True		intergenic|chr22:38428768-38429268	27.421426	91.386995	50.059582
chr22	38430420	38430920	121	278.608615	0.861619	0.861619	557.217230	0.865817	90	230.569995	0.835382	0.835382	461.139989	0.843928	254.589305	0.849475	509.178609	0.856972	51	233.082123	0.919490	0.919490	466.164245	0.924888	233.082123	0.919490	466.164245	0.924888	K562	intergenic	False	False	True		intergenic|chr22:38430420-38430920	233.082123	254.589305	243.598472
