chr	start	end	H3K27ac.ENCFF384ZZM.chr22.bam.readCount	H3K27ac.ENCFF384ZZM.chr22.bam.RPM	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.quantile	H3K27ac.RPM	H3K27ac.RPM.quantile	H3K27ac.RPKM	H3K27ac.RPKM.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.quantile	DHS.RPM	DHS.RPM.quantile	DHS.RPKM	DHS.RPKM.quantile	cellType	class	isPromoterElement	isGenicElement	isIntergenicElement	promoterSymbol	genicSymbol	name	normalized_h3K27ac	normalized_dhs	activity_base	activity_base_no_qnorm
chr22	17059688	17060188	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	11	25.328056	0.143393	0.143393	50.656112	0.146847	10	25.618888	0.211261	0.211261	51.237777	0.214114	25.473472	0.169069	50.946944	0.173123	K562	intergenic	False	False	True			intergenic|chr22:17059688-17060188	4.570238	25.473472	10.789802	10.789802
chr22	17067043	17067543	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	74	170.388740	0.781081	0.781081	340.777479	0.792042	64	163.960885	0.776276	0.776276	327.921770	0.785886	167.174812	0.782583	334.349625	0.790691	K562	intergenic	False	False	True			intergenic|chr22:17067043-17067543	4.570238	167.174812	27.641068	27.641068
chr22	17068560	17069060	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	13	29.933157	0.206306	0.206306	59.866314	0.212162	10	25.618888	0.211261	0.211261	51.237777	0.214114	27.776023	0.197447	55.552045	0.201351	K562	intergenic	False	False	True			intergenic|chr22:17068560-17069060	0.000000	27.776023	0.000000	0.000000
chr22	17073450	17073950	4	18.280951	0.406607	0.406607	36.561902	0.411712	18.280951	0.406607	36.561902	0.411712	5	11.512753	0.057808	0.057808	23.025505	0.057808	8	20.495111	0.157057	0.157057	40.990221	0.159760	16.003932	0.080781	32.007863	0.082583	K562	promoter	True	False	False	CCT8L2	CCT8L2	promoter|chr22:17073450-17073950	18.280951	16.003932	17.104593	17.104593
chr22	17080518	17081018	14	63.983328	0.732132	0.732132	127.966656	0.740090	63.983328	0.732132	127.966656	0.740090	113	260.188210	0.852252	0.852252	520.376421	0.857808	120	307.426660	0.876727	0.876727	614.853319	0.881832	283.807435	0.866066	567.614870	0.871471	K562	intergenic	False	False	True			intergenic|chr22:17080518-17081018	63.983328	283.807435	134.755127	134.755127
chr22	17081921	17082421	33	150.817844	0.876276	0.876276	301.635688	0.883183	150.817844	0.876276	301.635688	0.883183	288	663.134554	0.951351	0.951351	1326.269108	0.955556	246	630.224652	0.951201	0.951201	1260.449304	0.956156	646.679603	0.951351	1293.359206	0.955856	K562	promoter	True	False	False	TPTEP1		promoter|chr22:17081921-17082421	150.817844	646.679603	312.299253	312.299253
chr22	17082550	17083050	40	182.809508	0.897748	0.897748	365.619016	0.901952	182.809508	0.897748	365.619016	0.901952	58	133.547931	0.730180	0.730180	267.095862	0.740841	66	169.084663	0.782282	0.782282	338.169325	0.791291	151.316297	0.759009	302.632594	0.768468	K562	promoter	True	False	False	TPTEP1	TPTEP1	promoter|chr22:17082550-17083050	182.809508	151.316297	166.319144	166.319144
chr22	17084142	17084642	76	347.338065	0.949700	0.949700	694.676130	0.955706	347.338065	0.949700	694.676130	0.955706	51	117.430077	0.698348	0.698348	234.860155	0.709159	63	161.398996	0.772523	0.772523	322.797993	0.782282	139.414537	0.740541	278.829074	0.751351	K562	genic	False	True	False		TPTEP1	genic|chr22:17084142-17084642	347.338065	139.414537	220.054483	220.054483
chr22	17096771	17097271	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	16	36.840809	0.296096	0.296096	73.681617	0.302402	16	40.990221	0.372973	0.372973	81.980443	0.380180	38.915515	0.340691	77.831030	0.346697	K562	genic	False	True	False		TPTEP1	genic|chr22:17096771-17097271	0.000000	38.915515	0.000000	0.000000
chr22	17098552	17099052	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	29	66.773966	0.545495	0.545495	133.547931	0.554805	22	56.361554	0.489339	0.489339	112.723108	0.497297	61.567760	0.519069	123.135520	0.527177	K562	genic	False	True	False		TPTEP1	genic|chr22:17098552-17099052	0.000000	61.567760	0.000000	0.000000
chr22	17103898	17104398	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	14	32.235707	0.237237	0.237237	64.471415	0.243994	9	23.056999	0.182883	0.182883	46.113999	0.185285	27.646353	0.194444	55.292707	0.198048	K562	genic	False	True	False		TPTEP1	genic|chr22:17103898-17104398	4.570238	27.646353	11.240570	11.240570
chr22	17105347	17105847	2	9.140475	0.255556	0.255556	18.280951	0.257357	9.140475	0.255556	18.280951	0.257357	39	89.799471	0.633033	0.633033	179.598942	0.642943	32	81.980443	0.613964	0.613964	163.960885	0.622973	85.889957	0.622222	171.779913	0.632432	K562	genic	False	True	False		TPTEP1	genic|chr22:17105347-17105847	9.140475	85.889957	28.019190	28.019190
chr22	17115506	17116006	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	12	27.630606	0.174625	0.174625	55.261213	0.178679	5	12.809444	0.095946	0.095946	25.618888	0.097147	20.220025	0.111411	40.440051	0.113213	K562	genic	False	True	False		TPTEP1	genic|chr22:17115506-17116006	4.570238	20.220025	9.613029	9.613029
chr22	17135298	17135798	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	17	39.143359	0.322072	0.322072	78.286718	0.328378	26	66.609110	0.546997	0.546997	133.218219	0.554204	52.876234	0.462162	105.752469	0.470270	K562	genic	False	True	False		ANKRD62P1-PARP4P3	genic|chr22:17135298-17135798	4.570238	52.876234	15.545320	15.545320
chr22	17136172	17136672	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	17	39.143359	0.322072	0.322072	78.286718	0.328378	12	30.742666	0.270721	0.270721	61.485332	0.273874	34.943013	0.288589	69.886025	0.295195	K562	genic	False	True	False		ANKRD62P1-PARP4P3	genic|chr22:17136172-17136672	4.570238	34.943013	12.637162	12.637162
chr22	17138919	17139419	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	14	32.235707	0.237237	0.237237	64.471415	0.243994	23	58.923443	0.506907	0.506907	117.846886	0.514264	45.579575	0.406757	91.159151	0.414565	K562	genic	False	True	False		ANKRD62P1-PARP4P3	genic|chr22:17138919-17139419	0.000000	45.579575	0.000000	0.000000
chr22	17156180	17156680	2	9.140475	0.255556	0.255556	18.280951	0.257357	9.140475	0.255556	18.280951	0.257357	6	13.815303	0.061712	0.061712	27.630606	0.062312	3	7.685666	0.061562	0.061562	15.371333	0.062312	10.750485	0.060060	21.500970	0.060060	K562	promoter	True	False	False	ANKRD62P1-PARP4P3	ANKRD62P1-PARP4P3	promoter|chr22:17156180-17156680	9.140475	10.750485	9.912847	9.912847
chr22	17162781	17163281	4	18.280951	0.406607	0.406607	36.561902	0.411712	18.280951	0.406607	36.561902	0.411712	14	32.235707	0.237237	0.237237	64.471415	0.243994	7	17.933222	0.134685	0.134685	35.866444	0.137087	25.084465	0.162312	50.168929	0.166216	K562	intergenic	False	False	True			intergenic|chr22:17162781-17163281	18.280951	25.084465	21.414198	21.414198
chr22	17187412	17187912	3	13.710713	0.338438	0.338438	27.421426	0.342042	13.710713	0.338438	27.421426	0.342042	10	23.025505	0.112162	0.112162	46.051011	0.114264	3	7.685666	0.061562	0.061562	15.371333	0.062312	15.355586	0.076276	30.711172	0.077778	K562	intergenic	False	False	True			intergenic|chr22:17187412-17187912	13.710713	15.355586	14.509860	14.509860
chr22	17198779	17199279	3	13.710713	0.338438	0.338438	27.421426	0.342042	13.710713	0.338438	27.421426	0.342042	16	36.840809	0.296096	0.296096	73.681617	0.302402	22	56.361554	0.489339	0.489339	112.723108	0.497297	46.601181	0.413964	93.202363	0.421321	K562	intergenic	False	False	True			intergenic|chr22:17198779-17199279	13.710713	46.601181	25.277172	25.277172
chr22	17210894	17211394	4	18.280951	0.406607	0.406607	36.561902	0.411712	18.280951	0.406607	36.561902	0.411712	14	32.235707	0.237237	0.237237	64.471415	0.243994	9	23.056999	0.182883	0.182883	46.113999	0.185285	27.646353	0.194444	55.292707	0.198048	K562	intergenic	False	False	True			intergenic|chr22:17210894-17211394	18.280951	27.646353	22.481139	22.481139
chr22	17212367	17212867	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	11	25.328056	0.143393	0.143393	50.656112	0.146847	9	23.056999	0.182883	0.182883	46.113999	0.185285	24.192528	0.156456	48.385055	0.160060	K562	intergenic	False	False	True			intergenic|chr22:17212367-17212867	4.570238	24.192528	10.515018	10.515018
chr22	17217489	17217989	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	14	32.235707	0.237237	0.237237	64.471415	0.243994	8	20.495111	0.157057	0.157057	40.990221	0.159760	26.365409	0.177928	52.730818	0.181532	K562	intergenic	False	False	True			intergenic|chr22:17217489-17217989	0.000000	26.365409	0.000000	0.000000
chr22	17228482	17228982	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	14	32.235707	0.237237	0.237237	64.471415	0.243994	19	48.675888	0.432883	0.432883	97.351776	0.441742	40.455798	0.357357	80.911595	0.363664	K562	promoter	True	False	False	LINC01665	LINC01665	promoter|chr22:17228482-17228982	4.570238	40.455798	13.597522	13.597522
chr22	17229078	17229578	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	9	20.722955	0.089790	0.089790	41.445910	0.091441	3	7.685666	0.061562	0.061562	15.371333	0.062312	14.204311	0.071922	28.408621	0.073123	K562	promoter	True	False	False	LINC01665	LINC01665	promoter|chr22:17229078-17229578	4.570238	14.204311	8.057113	8.057113
chr22	17230193	17230693	2	9.140475	0.255556	0.255556	18.280951	0.257357	9.140475	0.255556	18.280951	0.257357	13	29.933157	0.206306	0.206306	59.866314	0.212162	8	20.495111	0.157057	0.157057	40.990221	0.159760	25.214134	0.163213	50.428268	0.167117	K562	intergenic	False	False	True			intergenic|chr22:17230193-17230693	9.140475	25.214134	15.181211	15.181211
chr22	17239416	17239916	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	10	23.025505	0.112162	0.112162	46.051011	0.114264	17	43.552110	0.392643	0.392643	87.104220	0.399850	33.288808	0.267568	66.577615	0.273874	K562	intergenic	False	False	True			intergenic|chr22:17239416-17239916	4.570238	33.288808	12.334414	12.334414
chr22	17255420	17255920	7	31.991664	0.553303	0.553303	63.983328	0.560511	31.991664	0.553303	63.983328	0.560511	75	172.691290	0.783784	0.783784	345.382580	0.793844	96	245.941328	0.847447	0.847447	491.882655	0.854505	209.316309	0.819970	418.632618	0.828378	K562	intergenic	False	False	True			intergenic|chr22:17255420-17255920	31.991664	209.316309	81.831394	81.831394
chr22	17262343	17262843	12	54.842852	0.692042	0.692042	109.685705	0.700751	54.842852	0.692042	109.685705	0.700751	68	156.573436	0.760511	0.760511	313.146873	0.771471	64	163.960885	0.776276	0.776276	327.921770	0.785886	160.267161	0.772673	320.534321	0.781682	K562	intergenic	False	False	True			intergenic|chr22:17262343-17262843	54.842852	160.267161	93.752377	93.752377
chr22	17264758	17265258	9	41.132139	0.616517	0.616517	82.264279	0.624925	41.132139	0.616517	82.264279	0.624925	45	103.614774	0.666366	0.666366	207.229548	0.677628	41	105.037442	0.672673	0.672673	210.074884	0.682883	104.326108	0.669369	208.652216	0.680180	K562	genic	False	True	False		XKR3	genic|chr22:17264758-17265258	41.132139	104.326108	65.506916	65.506916
chr22	17270623	17271123	2	9.140475	0.255556	0.255556	18.280951	0.257357	9.140475	0.255556	18.280951	0.257357	19	43.748460	0.372523	0.372523	87.496920	0.380330	11	28.180777	0.241441	0.241441	56.361554	0.244294	35.964619	0.299850	71.929237	0.306156	K562	genic	False	True	False		XKR3	genic|chr22:17270623-17271123	9.140475	35.964619	18.131015	18.131015
chr22	17276417	17276917	10	45.702377	0.645195	0.645195	91.404754	0.653754	45.702377	0.645195	91.404754	0.653754	14	32.235707	0.237237	0.237237	64.471415	0.243994	20	51.237777	0.452402	0.452402	102.475553	0.461562	41.736742	0.371772	83.473484	0.378078	K562	genic	False	True	False		XKR3	genic|chr22:17276417-17276917	45.702377	41.736742	43.674573	43.674573
chr22	17288775	17289769	8	36.561902	0.587087	0.587087	36.782597	0.443844	36.561902	0.587087	36.782597	0.443844	35	80.589269	0.608258	0.608258	81.075723	0.343844	21	53.799665	0.471171	0.471171	54.124412	0.227628	67.194467	0.553904	67.600067	0.279580	K562	genic	False	True	False		XKR3	genic|chr22:17288775-17289769	36.561902	67.194467	49.565689	49.565689
chr22	17291060	17291560	24	109.685705	0.833183	0.833183	219.371410	0.842192	109.685705	0.833183	219.371410	0.842192	17	39.143359	0.322072	0.322072	78.286718	0.328378	9	23.056999	0.182883	0.182883	46.113999	0.185285	31.100179	0.237087	62.200359	0.241141	K562	genic	False	True	False		XKR3	genic|chr22:17291060-17291560	109.685705	31.100179	58.405865	58.405865
chr22	17295478	17295978	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	12	27.630606	0.174625	0.174625	55.261213	0.178679	7	17.933222	0.134685	0.134685	35.866444	0.137087	22.781914	0.139489	45.563828	0.142192	K562	genic	False	True	False		XKR3	genic|chr22:17295478-17295978	4.570238	22.781914	10.203860	10.203860
chr22	17302339	17302839	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	1	2.302551	0.022973	0.022973	4.605101	0.023123	2	5.123778	0.042492	0.042492	10.247555	0.042643	3.713164	0.029429	7.426328	0.029880	K562	promoter	True	False	False	XKR3	XKR3	promoter|chr22:17302339-17302839	0.000000	3.713164	0.000000	0.000000
chr22	17306053	17306553	13	59.413090	0.712763	0.712763	118.826180	0.720871	59.413090	0.712763	118.826180	0.720871	27	62.168864	0.522072	0.522072	124.337729	0.530180	25	64.047221	0.532432	0.532432	128.094441	0.539339	63.108043	0.529730	126.216085	0.537838	K562	intergenic	False	False	True			intergenic|chr22:17306053-17306553	59.413090	63.108043	61.232702	61.232702
chr22	17308113	17308613	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	3	6.907652	0.045195	0.045195	13.815303	0.045345	0	0.000000	0.009760	0.009760	0.000000	0.009760	3.453826	0.025225	6.907652	0.026126	K562	promoter	True	False	False	HSFY1P1	HSFY1P1	promoter|chr22:17308113-17308613	4.570238	3.453826	3.973010	3.973010
chr22	17392408	17392908	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	15	34.538258	0.268318	0.268318	69.076516	0.275225	30	76.856665	0.593093	0.593093	153.713330	0.601201	55.697461	0.480781	111.394923	0.490390	K562	intergenic	False	False	True			intergenic|chr22:17392408-17392908	0.000000	55.697461	0.000000	0.000000
chr22	17398239	17398739	3	13.710713	0.338438	0.338438	27.421426	0.342042	13.710713	0.338438	27.421426	0.342042	58	133.547931	0.730180	0.730180	267.095862	0.740841	49	125.532553	0.715315	0.715315	251.065105	0.726426	129.540242	0.722372	259.080484	0.732583	K562	intergenic	False	False	True			intergenic|chr22:17398239-17398739	13.710713	129.540242	42.143672	42.143672
chr22	17402898	17403398	2	9.140475	0.255556	0.255556	18.280951	0.257357	9.140475	0.255556	18.280951	0.257357	12	27.630606	0.174625	0.174625	55.261213	0.178679	11	28.180777	0.241441	0.241441	56.361554	0.244294	27.905692	0.200300	55.811384	0.204204	K562	intergenic	False	False	True			intergenic|chr22:17402898-17403398	9.140475	27.905692	15.970951	15.970951
chr22	17488862	17489362	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	0	0.000000	0.008559	0.008559	0.000000	0.008559	3	7.685666	0.061562	0.061562	15.371333	0.062312	3.842833	0.031532	7.685666	0.031832	K562	promoter	True	False	False	GAB4	GAB4	promoter|chr22:17488862-17489362	0.000000	3.842833	0.000000	0.000000
chr22	17505290	17505790	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	12	27.630606	0.174625	0.174625	55.261213	0.178679	7	17.933222	0.134685	0.134685	35.866444	0.137087	22.781914	0.139489	45.563828	0.142192	K562	intergenic	False	False	True			intergenic|chr22:17505290-17505790	0.000000	22.781914	0.000000	0.000000
chr22	17517209	17517709	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	1	2.302551	0.022973	0.022973	4.605101	0.023123	2	5.123778	0.042492	0.042492	10.247555	0.042643	3.713164	0.029429	7.426328	0.029880	K562	promoter	True	False	False	CECR7	CECR7	promoter|chr22:17517209-17517709	0.000000	3.713164	0.000000	0.000000
chr22	17518349	17518849	7	31.991664	0.553303	0.553303	63.983328	0.560511	31.991664	0.553303	63.983328	0.560511	15	34.538258	0.268318	0.268318	69.076516	0.275225	14	35.866444	0.325826	0.325826	71.732887	0.330631	35.202351	0.292042	70.404702	0.298348	K562	genic	False	True	False		CECR7	genic|chr22:17518349-17518849	31.991664	35.202351	33.558632	33.558632
chr22	17538974	17539474	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	27	62.168864	0.522072	0.522072	124.337729	0.530180	14	35.866444	0.325826	0.325826	71.732887	0.330631	49.017654	0.433784	98.035308	0.440991	K562	genic	False	True	False		CECR7	genic|chr22:17538974-17539474	4.570238	49.017654	14.967376	14.967376
chr22	17544441	17544941	3	13.710713	0.338438	0.338438	27.421426	0.342042	13.710713	0.338438	27.421426	0.342042	14	32.235707	0.237237	0.237237	64.471415	0.243994	12	30.742666	0.270721	0.270721	61.485332	0.273874	31.489187	0.243093	62.978373	0.247297	K562	intergenic	False	False	True			intergenic|chr22:17544441-17544941	13.710713	31.489187	20.778335	20.778335
chr22	17555571	17556071	2	9.140475	0.255556	0.255556	18.280951	0.257357	9.140475	0.255556	18.280951	0.257357	23	52.958662	0.456607	0.456607	105.917325	0.464114	21	53.799665	0.471171	0.471171	107.599331	0.479880	53.379164	0.467568	106.758328	0.475976	K562	intergenic	False	False	True			intergenic|chr22:17555571-17556071	9.140475	53.379164	22.088706	22.088706
chr22	17558406	17558906	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	11	25.328056	0.143393	0.143393	50.656112	0.146847	4	10.247555	0.080030	0.080030	20.495111	0.080931	17.787806	0.090240	35.575611	0.092042	K562	intergenic	False	False	True			intergenic|chr22:17558406-17558906	0.000000	17.787806	0.000000	0.000000
chr22	17565507	17566098	37	169.098795	0.890090	0.890090	286.123172	0.878078	169.098795	0.890090	286.123172	0.878078	181	416.761647	0.907207	0.907207	705.180452	0.893393	171	438.082990	0.918318	0.918318	741.257174	0.903904	427.422318	0.913814	723.218813	0.898799	K562	promoter	True	False	False	IL17RA	IL17RA	promoter|chr22:17565507-17566098	169.098795	427.422318	268.843075	268.843075
chr22	17568623	17569123	5	22.851188	0.465015	0.465015	45.702377	0.471922	22.851188	0.465015	45.702377	0.471922	33	75.984168	0.587688	0.587688	151.968335	0.597447	39	99.913664	0.661111	0.661111	199.827329	0.672072	87.948916	0.627327	175.897832	0.637237	K562	genic	False	True	False		IL17RA	genic|chr22:17568623-17569123	22.851188	87.948916	44.830093	44.830093
chr22	17579277	17579777	3	13.710713	0.338438	0.338438	27.421426	0.342042	13.710713	0.338438	27.421426	0.342042	49	112.824976	0.688739	0.688739	225.649952	0.698649	46	117.846886	0.701201	0.701201	235.693772	0.711111	115.335931	0.695045	230.671862	0.706156	K562	genic	False	True	False		IL17RA	genic|chr22:17579277-17579777	13.710713	115.335931	39.766039	39.766039
chr22	17583057	17583557	10	45.702377	0.645195	0.645195	91.404754	0.653754	45.702377	0.645195	91.404754	0.653754	55	126.640279	0.716517	0.716517	253.280559	0.727027	40	102.475553	0.667718	0.667718	204.951106	0.677778	114.557916	0.693093	229.115833	0.704204	K562	genic	False	True	False		IL17RA	genic|chr22:17583057-17583557	45.702377	114.557916	72.357232	72.357232
chr22	17591962	17592462	5	22.851188	0.465015	0.465015	45.702377	0.471922	22.851188	0.465015	45.702377	0.471922	8	18.420404	0.077327	0.077327	36.840809	0.078228	2	5.123778	0.042492	0.042492	10.247555	0.042643	11.772091	0.061862	23.544182	0.062162	K562	genic	False	True	False		IL17RA	genic|chr22:17591962-17592462	22.851188	11.772091	16.401411	16.401411
chr22	17601111	17601611	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	13	29.933157	0.206306	0.206306	59.866314	0.212162	9	23.056999	0.182883	0.182883	46.113999	0.185285	26.495078	0.180931	52.990156	0.184535	K562	genic	False	True	False		CECR6	genic|chr22:17601111-17601611	4.570238	26.495078	11.004036	11.004036
