chr	start	end	name	score	strand	symbol	tss	K562.ENCFF934YBO.TPM.txt.Expression	Expression	Expression.quantile	is_ue	cellType	H3K27ac.ENCFF384ZZM.chr22.bam.readCount	H3K27ac.ENCFF384ZZM.chr22.bam.RPM	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.quantile	H3K27ac.RPM	H3K27ac.RPM.quantile	H3K27ac.RPKM	H3K27ac.RPKM.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.quantile	DHS.RPM	DHS.RPM.quantile	DHS.RPKM	DHS.RPKM.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.quantile.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.quantile.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.quantile.TSS1Kb	H3K27ac.RPM.TSS1Kb	H3K27ac.RPM.quantile.TSS1Kb	H3K27ac.RPKM.TSS1Kb	H3K27ac.RPKM.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.quantile.TSS1Kb	DHS.RPM.TSS1Kb	DHS.RPM.quantile.TSS1Kb	DHS.RPKM.TSS1Kb	DHS.RPKM.quantile.TSS1Kb	PromoterActivityQuantile
chr22	17442826	17489112	GAB4	0	-	GAB4	17489112	0.120000	0.120000	0.402154	False	K562	95	434.172581	0.465889	0.465889	9.380214	0.220826	434.172581	0.465889	9.380214	0.220826	164	377.618288	0.495512	0.495512	8.158369	0.186715	154	394.530880	0.514363	0.514363	8.523763	0.206463	386.074584	0.511670	8.341066	0.190305	1	4.570238	0.172352	0.172352	4.570238	0.172352	4.570238	0.172352	4.570238	0.172352	3	6.907652	0.175943	0.175943	6.907652	0.175943	6	15.371333	0.298025	0.298025	15.371333	0.298025	11.139492	0.256732	11.139492	0.256732	0.236984
chr22	17517459	17539682	CECR7	0	+	CECR7	17517459	15.200000	15.200000	0.719928	False	K562	82	374.759491	0.437163	0.437163	16.863587	0.432675	374.759491	0.437163	16.863587	0.432675	145	333.869828	0.456014	0.456014	15.023616	0.411131	144	368.911991	0.502693	0.502693	16.600459	0.443447	351.390910	0.472172	15.812038	0.430880	1	4.570238	0.172352	0.172352	4.570238	0.172352	4.570238	0.172352	4.570238	0.172352	2	4.605101	0.122980	0.122980	4.605101	0.122980	5	12.809444	0.273788	0.273788	12.809444	0.273788	8.707273	0.209156	8.707273	0.209156	0.219031
chr22	17565848	17596584	IL17RA	0	+	IL17RA	17565848	4.220000	4.220000	0.574506	False	K562	165	754.089220	0.616697	0.616697	24.534397	0.561939	754.089220	0.616697	24.534397	0.561939	350	805.892687	0.675045	0.675045	26.219830	0.603232	319	817.242537	0.693896	0.693896	26.589099	0.615799	811.567612	0.682226	26.404464	0.610413	55	251.363073	0.680431	0.680431	251.363073	0.680431	251.363073	0.680431	251.363073	0.680431	193	444.392253	0.766607	0.766607	444.392253	0.766607	182	466.263767	0.778276	0.778276	466.263767	0.778276	455.328010	0.770197	455.328010	0.770197	0.719928
chr22	17597188	17602213	CECR6	0	-	CECR6	17602213	0.000000	0.000000	0.268402	False	K562	18	82.264279	0.194794	0.194794	16.371001	0.425494	82.264279	0.194794	16.371001	0.425494	42	96.707122	0.208259	0.208259	19.245199	0.508079	40	102.475553	0.222621	0.222621	20.393145	0.540395	99.591338	0.206463	19.819172	0.526032	0	0.000000	0.065530	0.065530	0.000000	0.065530	0.000000	0.065530	0.000000	0.065530	14	32.235707	0.390485	0.390485	32.235707	0.390485	8	20.495111	0.336625	0.336625	20.495111	0.336625	26.365409	0.369838	26.365409	0.369838	0.181329
chr22	17602484	17612994	LINC01664	0	+	LINC01664	17602484			0.082585	False	K562	25	114.255942	0.242370	0.242370	10.871165	0.271095	114.255942	0.242370	10.871165	0.271095	58	133.547931	0.255835	0.255835	12.706749	0.341113	46	117.846886	0.255835	0.255835	11.212834	0.283662	125.697409	0.260323	11.959791	0.315978	2	9.140475	0.249551	0.249551	9.140475	0.249551	9.140475	0.249551	9.140475	0.249551	11	25.328056	0.373429	0.373429	25.328056	0.373429	8	20.495111	0.336625	0.336625	20.495111	0.336625	22.911583	0.351885	22.911583	0.351885	0.324955
chr22	17618409	17646177	HDHD5	0	-	HDHD5	17646177			0.082585	False	K562	134	612.411852	0.561041	0.561041	22.054590	0.529623	612.411852	0.561041	22.054590	0.529623	374	861.153900	0.704668	0.704668	31.012457	0.664273	291	745.509649	0.672352	0.672352	26.847798	0.617594	803.331775	0.680431	28.930127	0.633752	5	22.851188	0.385996	0.385996	22.851188	0.385996	22.851188	0.385996	22.851188	0.385996	10	23.025505	0.358169	0.358169	23.025505	0.358169	10	25.618888	0.370736	0.370736	25.618888	0.370736	24.322197	0.359964	24.322197	0.359964	0.389587
chr22	17640278	17646335	HDHD5-AS1	0	+	HDHD5-AS1	17640278			0.082585	False	K562	31	141.677369	0.271095	0.271095	23.390683	0.542190	141.677369	0.271095	23.390683	0.542190	56	128.942830	0.245961	0.245961	21.288233	0.542190	40	102.475553	0.222621	0.222621	16.918533	0.459605	115.709192	0.236984	19.103383	0.511670	19	86.834516	0.543986	0.543986	86.834516	0.543986	86.834516	0.543986	86.834516	0.543986	54	124.337729	0.561939	0.561939	124.337729	0.561939	56	143.465774	0.572711	0.572711	143.465774	0.572711	133.901752	0.563734	133.901752	0.563734	0.551167
chr22	17659679	17700475	ADA2	0	-	ADA2	17700475			0.082585	False	K562	98	447.883294	0.471275	0.471275	10.978608	0.272890	447.883294	0.471275	10.978608	0.272890	298	686.160059	0.638241	0.638241	16.819297	0.454219	310	794.185537	0.681329	0.681329	19.467240	0.529623	740.172798	0.657092	18.143269	0.491921	4	18.280951	0.352783	0.352783	18.280951	0.352783	18.280951	0.352783	18.280951	0.352783	5	11.512753	0.267504	0.267504	11.512753	0.267504	4	10.247555	0.231598	0.231598	10.247555	0.231598	10.880154	0.243268	10.880154	0.243268	0.315081
chr22	17737749	17747623	CECR3	0	-	CECR3	17747623	0.000000	0.000000	0.268402	False	K562	42	191.949983	0.323160	0.323160	19.439942	0.479354	191.949983	0.323160	19.439942	0.479354	157	361.500434	0.477558	0.477558	36.611346	0.725314	137	350.978770	0.479354	0.479354	35.545753	0.718133	356.239602	0.477558	36.078550	0.718133	4	18.280951	0.352783	0.352783	18.280951	0.352783	18.280951	0.352783	18.280951	0.352783	11	25.328056	0.373429	0.373429	25.328056	0.373429	3	7.685666	0.181329	0.181329	7.685666	0.181329	16.506861	0.317774	16.506861	0.317774	0.353680
chr22	17840838	18037856	CECR2	0	+	CECR2	17840838	0.260000	0.260000	0.439856	False	K562	564	2577.614062	0.868941	0.868941	13.083140	0.337522	2577.614062	0.868941	13.083140	0.337522	2547	5864.596213	0.962298	0.962298	29.766804	0.648115	2531	6484.140627	0.969479	0.969479	32.911412	0.696589	6174.368420	0.969479	31.339108	0.680431	10	45.702377	0.484740	0.484740	45.702377	0.484740	45.702377	0.484740	45.702377	0.484740	279	642.411599	0.840215	0.840215	642.411599	0.840215	253	648.157874	0.841113	0.841113	648.157874	0.841113	645.284737	0.840215	645.284737	0.840215	0.622980
chr22	18043138	18073656	SLC25A18	0	+	SLC25A18	18043138	0.000000	0.000000	0.268402	False	K562	126	575.849950	0.547576	0.547576	18.869190	0.470377	575.849950	0.547576	18.869190	0.470377	353	812.800339	0.678636	0.678636	26.633473	0.610413	280	717.328872	0.652603	0.652603	23.505108	0.578097	765.064606	0.666068	25.069290	0.594255	6	27.421426	0.410233	0.410233	27.421426	0.410233	27.421426	0.410233	27.421426	0.410233	116	267.095862	0.679533	0.679533	267.095862	0.679533	97	248.503216	0.657989	0.657989	248.503216	0.657989	257.799539	0.669659	257.799539	0.669659	0.520646
chr22	18062922	18071958	LOC101929372	0	-	LOC101929372	18071958			0.082585	False	K562	22	100.545229	0.216338	0.216338	11.127183	0.276481	100.545229	0.216338	11.127183	0.276481	144	331.567277	0.453321	0.453321	36.694032	0.728905	99	253.626994	0.393178	0.393178	28.068503	0.635548	292.597136	0.423698	32.381268	0.689408	2	9.140475	0.249551	0.249551	9.140475	0.249551	9.140475	0.249551	9.140475	0.249551	18	41.445910	0.419210	0.419210	41.445910	0.419210	6	15.371333	0.298025	0.298025	15.371333	0.298025	28.408621	0.377020	28.408621	0.377020	0.333932
chr22	18074902	18111588	ATP6V1E1	0	-	ATP6V1E1	18111588	137.610000	137.610000	0.949731	False	K562	387	1768.681989	0.809695	0.809695	48.211361	0.707361	1768.681989	0.809695	48.211361	0.707361	439	1010.819685	0.746858	0.746858	27.553281	0.624776	405	1037.564976	0.755835	0.755835	28.282314	0.640934	1024.192330	0.748654	27.917798	0.621185	426	1946.921259	0.973070	0.973070	1946.921259	0.973070	1946.921259	0.973070	1946.921259	0.973070	592	1363.109917	0.922801	0.922801	1363.109917	0.922801	481	1232.268527	0.917415	0.917415	1232.268527	0.917415	1297.689222	0.917415	1297.689222	0.917415	0.960503
chr22	18121349	18213621	BCL2L13	0	+	BCL2L13	18121349	35.610000	35.610000	0.831239	False	K562	1209	5525.417377	0.953321	0.953321	59.881843	0.764811	5525.417377	0.953321	59.881843	0.764811	1137	2617.999959	0.903052	0.903052	28.372637	0.633752	1168	2992.286153	0.921005	0.921005	32.428973	0.692998	2805.143056	0.912029	30.400805	0.664273	663	3030.067594	0.994614	0.994614	3030.067594	0.994614	3030.067594	0.994614	3030.067594	0.994614	377	868.061552	0.876122	0.876122	868.061552	0.876122	285	730.138316	0.859964	0.859964	730.138316	0.859964	799.099934	0.874327	799.099934	0.874327	0.951526
chr22	18216905	18257261	BID	0	-	BID	18257261	97.430000	97.430000	0.924596	False	K562	214	978.030867	0.677738	0.677738	24.235079	0.552962	978.030867	0.677738	24.235079	0.552962	367	845.036046	0.697487	0.697487	20.939539	0.535009	337	863.356536	0.705566	0.705566	21.393511	0.556553	854.196291	0.703770	21.166525	0.540395	18	82.264279	0.537702	0.537702	82.264279	0.537702	82.264279	0.537702	82.264279	0.537702	24	55.261213	0.456014	0.456014	55.261213	0.456014	26	66.609110	0.493716	0.493716	66.609110	0.493716	60.935161	0.471275	60.935161	0.471275	0.500898
chr22	18260055	18262247	LINC00528	0	+	LINC00528	18260055	0.590000	0.590000	0.478456	False	K562	66	301.635688	0.387792	0.387792	137.607522	0.892280	301.635688	0.387792	137.607522	0.892280	80	184.204043	0.330341	0.330341	84.034691	0.859964	92	235.693772	0.383303	0.383303	107.524531	0.899461	209.948908	0.350090	95.779611	0.885099	70	319.916639	0.728007	0.728007	319.916639	0.728007	319.916639	0.728007	319.916639	0.728007	70	161.178537	0.590664	0.590664	161.178537	0.590664	83	212.636773	0.630162	0.630162	212.636773	0.630162	186.907655	0.610413	186.907655	0.610413	0.657092
chr22	18270415	18389652	MICAL3	0	-	MICAL3	18389652	10.380000	10.380000	0.680431	False	K562	605	2764.993807	0.886894	0.886894	23.189059	0.540395	2764.993807	0.886894	23.189059	0.540395	945	2175.910256	0.874327	0.874327	18.248616	0.482944	848	2172.481727	0.876122	0.876122	18.219862	0.511670	2174.195992	0.876122	18.234239	0.497307	9	41.132139	0.468582	0.468582	41.132139	0.468582	41.132139	0.468582	41.132139	0.468582	9	20.722955	0.343806	0.343806	20.722955	0.343806	9	23.056999	0.354578	0.354578	23.056999	0.354578	21.889977	0.347397	21.889977	0.347397	0.421903
chr22	18512150	18520734	LINC01634	0	+	LINC01634	18512150			0.082585	False	K562	44	201.090459	0.330341	0.330341	23.426195	0.543986	201.090459	0.330341	23.426195	0.543986	52	119.732628	0.229803	0.229803	13.948349	0.382406	49	125.532553	0.262118	0.262118	14.624016	0.398564	122.632590	0.249551	14.286182	0.393178	5	22.851188	0.385996	0.385996	22.851188	0.385996	22.851188	0.385996	22.851188	0.385996	9	20.722955	0.343806	0.343806	20.722955	0.343806	10	25.618888	0.370736	0.370736	25.618888	0.370736	23.170922	0.355476	23.170922	0.355476	0.385996
chr22	18560685	18573797	PEX26	0	+	PEX26	18560685	14.300000	14.300000	0.710952	False	K562	146	667.254704	0.594255	0.594255	50.888858	0.727110	667.254704	0.594255	50.888858	0.727110	218	501.956017	0.578097	0.578097	38.282186	0.739677	165	422.711657	0.535907	0.535907	32.238534	0.687612	462.333837	0.556553	35.260360	0.714542	141	644.403515	0.868941	0.868941	644.403515	0.868941	644.403515	0.868941	644.403515	0.868941	270	621.688645	0.834829	0.834829	621.688645	0.834829	207	530.310988	0.811490	0.811490	530.310988	0.811490	575.999816	0.825853	575.999816	0.825853	0.861759
chr22	18593452	18614498	TUBA8	0	+	TUBA8	18593452	1.010000	1.010000	0.510772	False	K562	80	365.619016	0.429084	0.429084	17.372376	0.448833	365.619016	0.429084	17.372376	0.448833	87	200.321897	0.350090	0.350090	9.518288	0.224417	60	153.713330	0.303411	0.303411	7.303684	0.170557	177.017613	0.321364	8.410986	0.192101	0	0.000000	0.065530	0.065530	0.000000	0.065530	0.000000	0.065530	0.000000	0.065530	1	2.302551	0.070018	0.070018	2.302551	0.070018	4	10.247555	0.231598	0.231598	10.247555	0.231598	6.275053	0.160682	6.275053	0.160682	0.080790
chr22	18632757	18660162	USP18	0	+	USP18	18632757	0.480000	0.480000	0.466786	False	K562	30	137.107131	0.265709	0.265709	5.002997	0.089767	137.107131	0.265709	5.002997	0.089767	158	363.802985	0.479354	0.479354	13.275059	0.360862	143	366.350103	0.500000	0.500000	13.368002	0.364452	365.076544	0.488330	13.321531	0.362657	6	27.421426	0.410233	0.410233	27.421426	0.410233	27.421426	0.410233	27.421426	0.410233	64	147.363234	0.577199	0.577199	147.363234	0.577199	56	143.465774	0.572711	0.572711	143.465774	0.572711	145.414504	0.570916	145.414504	0.570916	0.486535
chr22	18660792	18688630	LOC100996415	0	-	LOC100996415	18688630			0.082585	False	K562	0	0.000000	0.017953	0.017953	0.000000	0.017953	0.000000	0.017953	0.000000	0.017953	4	9.210202	0.018851	0.018851	0.330850	0.007181	6	15.371333	0.039497	0.039497	0.552171	0.008977	12.290768	0.026032	0.441510	0.008977	0	0.000000	0.065530	0.065530	0.000000	0.065530	0.000000	0.065530	0.000000	0.065530	1	2.302551	0.070018	0.070018	2.302551	0.070018	1	2.561889	0.077199	0.077199	2.561889	0.077199	2.432220	0.059246	2.432220	0.059246	0.040395
chr22	18660803	18668247	LOC105379550	0	-	LOC105379550	18668247			0.082585	False	K562	0	0.000000	0.017953	0.017953	0.000000	0.017953	0.000000	0.017953	0.000000	0.017953	0	0.000000	0.002693	0.002693	0.000000	0.002693	2	5.123778	0.012567	0.012567	0.688310	0.010772	2.561889	0.005386	0.344155	0.007181	0	0.000000	0.065530	0.065530	0.000000	0.065530	0.000000	0.065530	0.000000	0.065530	0	0.000000	0.020646	0.020646	0.000000	0.020646	0	0.000000	0.025135	0.025135	0.000000	0.025135	0.000000	0.010772	0.000000	0.010772	0.010772
chr22	18721426	18745407	LINC01662	0	+	LINC01662	18721426			0.082585	False	K562	0	0.000000	0.017953	0.017953	0.000000	0.017953	0.000000	0.017953	0.000000	0.017953	4	9.210202	0.018851	0.018851	0.384062	0.010772	2	5.123778	0.012567	0.012567	0.213660	0.007181	7.166990	0.014363	0.298861	0.005386	0	0.000000	0.065530	0.065530	0.000000	0.065530	0.000000	0.065530	0.000000	0.065530	0	0.000000	0.020646	0.020646	0.000000	0.020646	3	7.685666	0.181329	0.181329	7.685666	0.181329	3.842833	0.101436	3.842833	0.101436	0.053860
chr22	18761201	18779474	GGT3P	0	-	GGT3P	18779474	0.000000	0.000000	0.268402	False	K562	0	0.000000	0.017953	0.017953	0.000000	0.017953	0.000000	0.017953	0.000000	0.017953	11	25.328056	0.073609	0.073609	1.386092	0.021544	9	23.056999	0.063734	0.063734	1.261807	0.021544	24.192528	0.066427	1.323949	0.019749	0	0.000000	0.065530	0.065530	0.000000	0.065530	0.000000	0.065530	0.000000	0.065530	1	2.302551	0.070018	0.070018	2.302551	0.070018	0	0.000000	0.025135	0.025135	0.000000	0.025135	1.151275	0.028725	1.151275	0.028725	0.025135
